from,to,passes,gravity,gravity_rd,gravity_dur,log10_gravity,distance,from_ctry,to_ctry,sp_distance,duration,speed_kmh,speed_kmh_imp,duration_imp,border_dist,border_time,total_time,total_time_imp,rugg,pop_wpop,pop_wpop_km2,cost_km,cost_km_adj,upgrade_cat,ug_cost_km,add,ug_cost
52,53,145,11.812218983908,7.53775231919217,9.75280593667548,1.0723314896494,111073.5,CMR,CMR,98522.7776847473,78.9,84.4665399239544,100,66.6441,0,0,78.9,66.6441,9738.3671875,57468.1171875,86.2870690261115,473159.9017446,32826.160181819,Asphalt Mix Resurfacing,111981.176746222,FALSE,12438141.2353215
55,56,1084,1141.16256028091,650.466108772246,818.873787285405,3.05734751471118,38642,CMR,CMR,32814.4887715854,28.15,82.363055062167,100,23.1852,0,0,28.15,23.1852,58226.47265625,724485.875,3126.28288460532,887329.485424229,61618.4280660981,Asphalt Mix Resurfacing,206077.345441219,FALSE,7963240.78253958
56,57,1183,1198.59899991521,643.474175248059,796.53841509676,3.0786739109948,56016.5,CMR,CMR,45221.3954884634,40.15,83.7108343711083,100,33.6099,0,0,40.15,33.6099,40687.47265625,2084217,6763.67752361921,813046.045972185,56460.82146792,Asphalt Mix Resurfacing,192420.89754675,FALSE,10778745.2074275
57,58,786,241.817143702504,128.685199937951,161.026337717653,2.38348708706019,101445,CMR,CMR,72650.5469375813,71.75,84.8320557491289,100,60.867,0,0,71.75,60.867,42116.8359375,32117.9296875,65.6546893334507,551276.083758908,38233.9033682191,Asphalt Mix Resurfacing,130468.673156275,FALSE,13235394.5483383
57,61,397,956.78185621271,514.788975310109,635.512077379107,2.98081293104503,109390.5,CMR,CMR,74874.2950569229,77.25,84.9634951456311,100,65.6343,0,0,77.25,65.6343,28782.46875,20192.33203125,40.2494912000018,505609.003254412,35038.5688830528,Asphalt Mix Resurfacing,119660.797436877,FALSE,13089754.4620187
62,63,468,295.494991096668,165.435030196889,185.315379785236,2.47055012360132,143811,COD,COD,78485.2037794746,207.6,41.5638728323699,100,86.2866,0,0,207.6,86.2866,99298.5703125,23400.623046875,44.4060299792514,591420.893007761,40993.2249722331,Upgrade,500736.356079904,FALSE,72011396.1042071
63,64,272,790.308420529563,505.063132296853,556.729065382268,2.89779660925802,44423,COD,COD,38298.8159959074,31.8,83.8169811320755,100,26.6538,0,0,31.8,26.6538,28387.779296875,27310.0234375,102.865096879948,609476.458132771,42289.9632474653,Asphalt Mix Resurfacing,144242.761758089,FALSE,6407696.20557959
64,65,279,684.270210592574,441.477905239272,470.616820667755,2.83522763358557,77317,AGO,COD,62525.2003041267,113.35,40.9265108072342,100,46.3902,2838028.75,8184,8297.35,8230.3902,66236.8125,64169.8515625,150.59771289123,624165.355302331,43320.4394875447,Upgrade,528460.00082264,FALSE,40858941.8836041
65,66,53,638.120172327552,411.451843635842,438.224603033506,2.80490247380601,138079,AGO,AGO,115140.927656824,131.3,63.0977913175933,100,82.8474,0,0,131.3,82.8474,21728.15625,64587.9609375,82.1606013105805,518853.31508831,35994.4475901226,Mixed Works,279316.034622539,FALSE,38567678.7446456
65,68,193.2,47.4896183609041,31.0814998840253,30.7431489386457,1.67659867949106,219986,AGO,AGO,174159.101502463,295.85,44.6143653878655,100,131.9916,0,0,295.85,131.9916,22206.8671875,166170.609375,139.442872806318,543907.194360142,37748.3978535708,Upgrade,460508.09122492,FALSE,101305332.956205
71,72,83,11.2090963193606,8.64972168299271,10.4824618425023,1.04957060105751,62204,NAM,NAM,56416.3121639678,39.55,94.3676359039191,100,37.3224,0,0,39.55,37.3224,113086.2109375,29460.54296875,77.0653631716048,629038.133573309,43635.3590407678,Asphalt Mix Resurfacing,148872.358279016,FALSE,9260456.17438791
72,73,107,14.4015749967294,10.7944190630892,13.4544808157272,1.15840999035806,117661,NAM,NAM,116083.131909822,73.85,95.5945836154367,100,70.5966,0,0,73.85,70.5966,60152.109375,38385.14453125,48.6460989829508,561137.370055592,38900.5324670684,Asphalt Mix Resurfacing,132802.510913157,FALSE,15625676.236553
73,74,42,2.49148104409861,1.81167244349938,2.26289719718224,0.396457587282836,198808.5,NAM,NAM,182671.500325894,126.55,94.2592651126037,100,119.2851,0,0,126.55,119.2851,118605.0390625,35533.4921875,28.7760953942698,582881.120082302,40360.491500646,Asphalt Mix Resurfacing,137948.531752811,FALSE,27425340.6749787
74,75,73,5.37492276509592,3.99730549279064,5.3764429884566,0.730372228041848,212959.5,NAM,NAM,180639.706223236,145.85,87.6076105587933,100,127.7757,0,0,145.85,127.7757,133510.453125,91120.5546875,74.431458406706,639827.125846846,44382.0642975255,Asphalt Mix Resurfacing,151425.753117087,FALSE,32247552.6709383
62,76,300,810.522908748819,429.902439937129,530.845996033589,2.90876529432654,119021,COD,COD,85015.6167938192,204.95,34.8439131495487,100,71.4126,0,0,204.95,71.4126,80621.4140625,41834.5234375,73.9464599223273,601917.192086123,41752.1061733369,Upgrade,509623.222632918,FALSE,60655865.5809925
76,77,622,1603.83340382797,958.717198094794,1089.17702718749,3.20515925449938,111365,COD,COD,89901.5520437282,79.05,84.5275142314991,100,66.819,0,0,79.05,66.819,40873.99609375,3167565.25,5266.78049864287,796380.939089418,55303.3394241256,Asphalt Mix Resurfacing,188476.822251162,FALSE,20989721.3100007
73,78,65,11.9100939526308,8.98274661958978,11.191583618545,1.07591518742301,175044.5,NAM,NAM,169725.554571947,111.9,93.8576407506702,100,105.0267,0,0,111.9,105.0267,104809.3671875,54780.05859375,47.2807685819642,598380.827176184,41480.3638936051,Asphalt Mix Resurfacing,141616.79576503,FALSE,24789241.2062918
78,79,89.7777777777778,12.9506764013976,9.79783594851754,12.6111420990817,1.11229245179357,74393,NAM,NAM,69625.3214784026,53.55,83.3535014005602,100,44.6358,0,0,53.55,44.6358,115380.4609375,295647.21875,628.146597362333,752936.98879417,52280.2215426428,Asphalt Mix Resurfacing,178195.087347953,FALSE,13256467.1330763
79,80,29,4.49316781386949,3.6603004087789,5.28083512302901,0.652552639219887,653964,NAM,NAM,588019.927722427,449.15,87.3602137370589,100,392.3784,0,0,449.15,392.3784,89346.3046875,82435.953125,17.7634699677957,541713.504990505,37444.2741133049,Asphalt Mix Resurfacing,128205.529514419,FALSE,83841800.9033675
