from,from_ctry,to,to_ctry,sp_distance,distance,duration,speed_kmh,speed_kmh_imp,duration_imp,border_dist,border_time,total_time,total_time_imp,rugg,pop_wpop,pop_wpop_km2,cost_km_adj,cost_km_adj,upgrade_cat,ug_cost_km
102,CIV,106,CIV,78254.0768236758,87814,82.15,64.1368228849665,100,52.6884,0,0,82.15,52.6884,17645.005859375,205689.015625,392.329544490642,577507.698839894,577507.698839894,Mixed Works,310891.644542143
106,CIV,108,CIV,83021.5276914615,99795.5,95.4,62.764465408805,100,59.8773,0,0,95.4,59.8773,10019.990234375,286993.375,517.449733739865,552411.86061485,552411.86061485,Mixed Works,297381.71829766
102,CIV,103,CIV,46850.867256112,48076.5,47.25,61.0495238095238,100,28.8459,0,0,47.25,28.8459,14481.30859375,265718.53125,819.927432944817,670184.051132132,670184.051132132,Mixed Works,360782.414192798
102,CIV,108,CIV,82696.1619334773,90895,91.7,59.4732824427481,100,54.537,0,0,91.7,54.537,11391.6064453125,228314.640625,412.546907221821,550305.249683719,550305.249683719,Upgrade,465925.111398882
97,MAR,100,MAR,59776.9002891202,67317.5,47.65,84.7649527806926,100,40.3905,0,0,47.65,40.3905,54831.1171875,208983.9375,516.315580500968,677269.201779283,677269.201779283,Asphalt Mix Resurfacing,160287.044421097
97,MAR,110,MAR,80340.50525042,118244.5,124.15,57.1459524768425,100,70.9467,0,0,124.15,70.9467,216254.71875,158505.90625,294.578901896138,761398.410470125,761398.410470125,Upgrade,644650.654198039
98,CIV,111,MLI,139973.162178565,200099.5,237.3,50.5940581542352,100,120.0597,684707.353125,4722.524205,4959.824205,4842.583905,11342.7392578125,125486.7109375,132.437443553588,499601.360659261,499601.360659261,Upgrade,422995.818691508
98,CIV,112,CIV,93914.8352493629,99884.5,92.35,64.895181375203,100,59.9307,0,0,92.35,59.9307,14239.6640625,235654.65625,377.483337732894,560999.917389144,560999.917389144,Mixed Works,302004.955527821
103,CIV,113,CIV,127051.886973022,137005,113.45,72.457470251212,100,82.203,0,0,113.45,82.203,15183.6318359375,387505,444.427414503045,573218.202511772,573218.202511772,Mixed Works,308582.465685503
100,MAR,110,MAR,93097.5074186548,125648,131.7,57.2428246013667,100,75.3888,0,0,131.7,75.3888,193554.46875,354384.9375,563.943296418831,793863.163445039,793863.163445039,Upgrade,672137.478383465
74,MLI,94,MLI,94017.7008059826,110739,103.15,64.4143480368396,100,66.4434,0,0,103.15,66.4434,19671.55859375,260753.6875,416.641888124283,588081.950027775,588081.950027775,Mixed Works,316584.116431618
94,MLI,114,MLI,78380.4778075677,82378.5,59.05,83.7038103302286,100,49.4271,0,0,59.05,49.4271,14502.4736328125,259236.6875,494.244491723116,575230.06094624,575230.06094624,Asphalt Mix Resurfacing,136137.78109061
108,CIV,115,CIV,108953.186715073,119115,111.25,64.241797752809,100,71.469,0,0,111.25,71.469,13788.724609375,241509.59375,322.092147680736,551371.722277149,551371.722277149,Mixed Works,296821.777159198
108,CIV,116,CIV,140040.760556179,167567.5,161.1,62.4087523277467,100,100.5405,0,0,161.1,100.5405,20007.0859375,199647.390625,208.626597636086,555742.814680253,555742.814680253,Mixed Works,299174.881902869
109,MAR,117,MAR,85814.9774035481,118104,95.3,74.3571878279119,100,70.8624,0,0,95.3,70.8624,165567.875,1002399.6875,1769.12684671057,858551.507404069,858551.507404069,Mixed Works,462186.89481919
104,MAR,109,MAR,135633.923545001,160463.5,189.05,50.9273208145993,100,96.2781,0,0,189.05,96.2781,148671.546875,664748.75,726.639121798758,785848.918358553,785848.918358553,Upgrade,665352.084210243
109,MAR,118,MAR,135195.395927818,169585,194.95,52.1933829186971,100,101.751,0,0,194.95,101.751,235324.828125,618508.75,679.905319867599,825698.232382294,825698.232382294,Upgrade,699091.170083676
109,MAR,119,MAR,144331.437658413,254628.5,315.8,48.3778024065865,100,152.7771,0,0,315.8,152.7771,578318.125,233742.171875,236.663727593797,841057.555066168,841057.555066168,Upgrade,712095.39662269
117,MAR,119,MAR,153053.035434179,235850.5,248.65,56.9114417856425,100,141.5103,0,0,248.65,141.5103,205779.796875,840336.375,803.310672402839,824096.760244945,824096.760244945,Upgrade,697735.257007387
114,MLI,120,MLI,70143.2093595755,75722,54.9,82.7562841530055,100,45.4332,0,0,54.9,45.4332,3368.90356445313,308938.5,654.832182975858,494464.212177736,494464.212177736,Asphalt Mix Resurfacing,117023.196882064
114,MLI,121,MLI,100115.789619454,114916,81.35,84.7567301782422,100,68.9496,0,0,81.35,68.9496,2867.23315429688,90675.3671875,133.998249645591,424016.059709902,424016.059709902,Asphalt Mix Resurfacing,100350.467464677
99,MLI,111,MLI,85219.6827336674,97108.5,75.8,76.8668865435356,100,58.2651,0,0,75.8,58.2651,13905.16796875,303659.5,535.310185943716,576222.703355272,576222.703355272,Mixed Works,310199.888639588
111,MLI,122,CIV,92382.1992025007,105169.5,80.85,78.047866419295,100,63.1017,684707.353125,4722.524205,4803.374205,4785.625905,18570.4765625,133241.640625,214.735449538485,552142.20793611,552142.20793611,Mixed Works,297236.555272272
104,MAR,110,MAR,100048.488513866,127056,127.85,59.627375831052,100,76.2336,0,0,127.85,76.2336,238052.890625,228974.96875,343.186273370679,780256.004670154,780256.004670154,Upgrade,660616.75062073
110,MAR,118,MAR,137344.693939992,177041,163.4,65.008935128519,100,106.2246,0,0,163.4,106.2246,208719.515625,930771.6875,1008.87339045944,841625.933127111,841625.933127111,Mixed Works,453075.294000094
99,MLI,120,MLI,120600.323662175,139131.5,101.6,82.1642716535433,100,83.4789,0,0,101.6,83.4789,4484.765625,516748.28125,627.796877711258,509907.036679686,509907.036679686,Asphalt Mix Resurfacing,120677.998680859
112,CIV,123,CIV,81865.2736213647,87825.5,81.2,64.8956896551724,100,52.6953,0,0,81.2,52.6953,15484.404296875,208631.84375,381.503837817341,567179.122077418,567179.122077418,Mixed Works,305331.42738501
112,CIV,124,CIV,50149.4096610912,55529.5,51.9,64.1959537572254,100,33.3177,0,0,51.9,33.3177,18581.6171875,285322.21875,821.602847241684,618714.140502791,618714.140502791,Mixed Works,333074.445637335
104,MAR,118,MAR,53105.459270559,69482.5,49,85.080612244898,100,41.6895,0,0,49,41.6895,81157.1484375,809172.8125,2217.45747734965,803419.578398013,803419.578398013,Asphalt Mix Resurfacing,190142.633554196
120,MLI,125,MLI,75853.218837746,79517,74.6,63.9546916890081,100,47.7102,0,0,74.6,47.7102,1676.3203125,292811.3125,575.828162350247,449801.234119896,449801.234119896,Mixed Works,242142.99770121
120,MLI,126,MLI,75188.9747562062,92026,83.9,65.8112038140644,100,55.2156,0,0,83.9,55.2156,8222.2822265625,275013.3125,542.895396670733,541659.976011598,541659.976011598,Mixed Works,291593.620419577
123,CIV,124,CIV,89255.1335813784,97746,70.65,83.0114649681529,100,58.6476,0,0,70.65,58.6476,8318.826171875,58946.7734375,99.4564433644944,469877.242932268,469877.242932268,Asphalt Mix Resurfacing,111204.280827303
123,CIV,128,CIV,127104.869614706,133165,95.5,83.6638743455498,100,79.899,0,0,95.5,79.899,7849.7568359375,412224.84375,473.495162086397,532440.765951086,532440.765951086,Asphalt Mix Resurfacing,126010.98127509
113,CIV,115,CIV,43445.1673953619,45764.5,35.1,78.2299145299146,100,27.4587,0,0,35.1,27.4587,21483.26171875,200379.828125,667.208197581403,690479.478028197,690479.478028197,Mixed Works,371708.119005179
113,CIV,128,CIV,99139.0753885766,105132,72.1,87.4884882108183,100,63.0792,0,0,72.1,63.0792,13118.1474609375,349244.8125,525.066031487155,571270.734364989,571270.734364989,Asphalt Mix Resurfacing,135200.74046638
122,CIV,124,CIV,43185.8707486729,45067,32.4,83.4574074074074,100,27.0402,0,0,32.4,27.0402,11486.6083984375,86972.671875,294.296596949148,597552.725317852,597552.725317852,Asphalt Mix Resurfacing,141420.811658558
124,CIV,129,CIV,210148.723921786,241830,277.4,52.3064167267484,100,145.098,0,0,277.4,145.098,40374.08203125,72638.390625,51.0020754884168,537035.419440166,537035.419440166,Upgrade,454689.98845934
122,CIV,130,BFA,85651.7001570102,99169,79.7,74.656712672522,100,59.5014,652676.09375,5112.10758,5191.80758,5171.60898,9925.6630859375,107534.875,188.075987485468,506447.100017874,506447.100017874,Mixed Works,272637.355509622
115,CIV,116,CIV,80737.2690004391,89308,61.3,87.4140293637847,100,53.5848,0,0,61.3,53.5848,25324.87890625,40302.98046875,74.6505290867018,524244.10515604,524244.10515604,Asphalt Mix Resurfacing,124071.104886929
115,CIV,131,CIV,102733.406576758,116266,107.9,64.6520852641335,100,69.7596,0,0,107.9,69.7596,18448.431640625,76517.6953125,110.543797275619,521623.139048783,521623.139048783,Mixed Works,280807.123187927
128,CIV,132,CIV,132912.511630227,151281,147.15,61.6844036697248,100,90.7686,0,0,147.15,90.7686,12049.8876953125,266621.09375,294.847665662443,538477.554798674,538477.554798674,Mixed Works,289880.416999952
118,MAR,133,MAR,92852.3799890037,118017,88.5,80.0115254237288,100,70.8102,0,0,88.5,70.8102,274304.5625,801854.5625,1255.05568439016,885956.854839678,885956.854839678,Asphalt Mix Resurfacing,206077.345441219
121,MLI,125,MLI,45651.8036698099,46557,43,64.9632558139535,100,27.9342,0,0,43,27.9342,2234.72924804688,37498.72265625,120.491591255997,455275.902911399,455275.902911399,Mixed Works,245090.194400636
125,MLI,126,MLI,72320.9994318696,81512.5,96.85,50.4981930820857,100,48.9075,0,0,96.85,48.9075,7477.1279296875,57863.04296875,119.14297828281,471011.373173118,471011.373173118,Upgrade,398789.629286573
121,MLI,134,MLI,117003.940654213,130930.5,92.7,84.7446601941748,100,78.5583,0,0,92.7,78.5583,7358.27294921875,57976.2578125,73.0172841333783,451144.095391036,451144.095391036,Asphalt Mix Resurfacing,106770.769242545
121,MLI,135,BFA,175408.667491649,202532,178.4,68.1161434977579,100,121.5192,536718.759375,3337.916625,3516.316625,3459.435825,12607.0654296875,87021.734375,72.1776239813945,480789.184712899,480789.184712899,Mixed Works,258824.84443711
127,BFA,130,BFA,39930.019553898,65656,76.1,51.7655716162944,100,39.3936,0,0,76.1,39.3936,29168.654296875,59908.40234375,217.659445969506,583551.407533735,583551.407533735,Upgrade,494073.525045229
127,BFA,136,BFA,65382.23900833,72747.5,55.55,78.5751575157516,100,43.6485,0,0,55.55,43.6485,28687.98046875,294332.78125,664.083173698179,640143.451112613,640143.451112613,Mixed Works,344610.557848956
126,MLI,136,BFA,124857.883543587,140819,152.55,55.3860373647984,100,84.4914,536718.759375,3337.916625,3490.466625,3422.408025,20702.109375,282184.1875,331.72378049444,580373.710117917,580373.710117917,Upgrade,491383.074566502
126,MLI,135,BFA,148013.214932564,179656.5,258.45,41.707835171213,100,107.7939,536718.759375,3337.916625,3596.366625,3445.710525,18246.802734375,90559.359375,89.2478480812674,511638.714339835,511638.714339835,Upgrade,433187.444807727
130,BFA,136,BFA,80470.2432097013,89857,78.2,68.943989769821,100,53.9142,0,0,78.2,53.9142,25993.34375,307780.71875,573.99673575845,624832.870428229,624832.870428229,Mixed Works,336368.361913863
130,BFA,137,BFA,152023.455293115,177483,263.35,40.436605278147,100,106.4898,0,0,263.35,106.4898,33331.671875,100933.3125,97.1321687607424,553931.003827141,553931.003827141,Upgrade,468994.916573646
107,CIV,116,CIV,97810.6152245659,116749,83.75,83.6410746268657,100,70.0494,0,0,83.75,70.0494,9826.025390625,1348094.125,2036.81558567373,619117.690551994,619117.690551994,Asphalt Mix Resurfacing,146524.520097305
119,MAR,138,MAR,38022.1150336476,50785,52.25,58.3177033492823,100,30.471,0,0,52.25,30.471,485203.3125,64761.52734375,242.364435215395,825185.443670786,825185.443670786,Upgrade,698657.008974599
136,BFA,139,BFA,76736.1720888232,82659,72.35,68.5492743607464,100,49.5954,0,0,72.35,49.5954,23867.53125,192495.59375,375.615390518027,596619.011801736,596619.011801736,Mixed Works,321179.901353268
136,BFA,140,BFA,90522.1185337265,102483.5,74.55,82.4816901408451,100,61.4901,0,0,74.55,61.4901,34088.70703125,215477.9375,354.470405233928,619641.376029108,619641.376029108,Asphalt Mix Resurfacing,146648.458993556
136,BFA,141,BFA,115149.583459809,134348,123.15,65.4557856272838,100,80.6088,0,0,123.15,80.6088,63949.79296875,261807.078125,328.529826646964,663942.703040307,663942.703040307,Mixed Works,357422.488470031
134,MLI,143,MLI,50160.5725462514,74208,56.3,79.0849023090586,100,44.5248,0,0,56.3,44.5248,10894.6259765625,119750.46875,348.148402382933,539548.124289928,539548.124289928,Mixed Works,290456.740242744
134,MLI,144,MLI,71510.5219267896,81056,102.75,47.3319708029197,100,48.6336,0,0,102.75,48.6336,24000.912109375,36163.66796875,74.8868288861501,521015.120287224,521015.120287224,Upgrade,441126.135176516
143,MLI,144,MLI,84362.5351903215,111623.5,124.55,53.7728623042955,100,66.9741,0,0,124.55,66.9741,19013.625,146827.796875,259.117108288759,562582.219260082,562582.219260082,Upgrade,476319.612306868
