lon,lat,iso3c,city_country,city_port,population,gdp_cap,IWI,gdp,wealth,port_locode,port_name,port_status,outflows
24.1403103,2.9642699,COD,Sidi Yahya Zaer - Morocco,FALSE,0,737.11550262843,12.2142441627044,0,0,,,,0
24.420032,-3.399964,COD,Katako-Kombe - Congo (Kinshasa),TRUE,1488922,736.68024,13.1000381794079,1096859416.30128,19504935.0461604,"","","",0
24.271759,-14.5517893,ZMB,El Attaf - Algeria,FALSE,0,3665.81086542203,12.1143442689886,0,0,,,,0
25.870739,-13.1036797,ZMB,Grand-Popo - Benin,FALSE,0,3647.10878341904,17.8610140603458,0,0,,,,0
25.5231895,3.27371,COD,Cuvelai - Angola,FALSE,0,736.68024,14.1068644386096,0,0,,,,0
24.478874,-6.13264,COD,Kabinda - Congo (Kinshasa),TRUE,244000,738.193235114827,13.6339437797616,180119149.368018,3326682.28226184,"","","",0
24.990731,-8.738605,COD,Kamina - Congo (Kinshasa),TRUE,156761,736.68024,23.8741402137137,115482731.10264,3742534.09404198,"","","",0
27.216954,31.33836,EGY,Matruh - Egypt,TRUE,108774,10521.6899292455,52.9943832526455,1144486300.36375,5764411.04392326,"","","",0
30.7111187,28.3389587,EGY,Foumbot - Cameroon,FALSE,483488,10486.8254265129,54.5231865459106,5070254251.81388,26361306.4167092,,,,0
24.7221088,2.8197899,COD,Nova Esperança - Angola,FALSE,55313,763.808961239885,14.5153449079795,42248565.0730617,802887.272895069,,,,0
25.241209,-17.8099899,BWA,Bulungu - Congo (Kinshasa),FALSE,9008,8487.31818593311,30.6319811353699,76453762.2188855,275932.886067412,,,,0
24.6759491,-14.8502493,ZMB,Moknine - Tunisia,FALSE,14200,3657.5593,18.2944573383509,51937342.06,259781.294204583,,,,0
25.949625,-2.951418,COD,Kindu - Congo (Kinshasa),TRUE,172321,736.68024,19.2027999871298,126945475.63704,3309045.69658219,"","","",0
24.7412891,-10.05373,COD,Benslimane - Morocco,FALSE,0,736.68024,14.2886247777225,0,0,,,,0
25.0904198,-10.3604193,COD,Maun - Botswana,FALSE,0,736.68024,15.6491301659223,0,0,,,,0
25.1378193,-11.8254595,ZMB,Mafeteng - Lesotho,FALSE,0,3677.36859664585,20.0149485952915,0,0,,,,0
25.0192184,-31.4972496,ZAF,Semara - Morocco,FALSE,18681,11533.3545,65.7265642910999,215454595.4145,1227837.94752204,,,,0
25.0785103,-30.7385788,ZAF,Ipele - Nigeria,FALSE,16869,11533.3545,71.1924560451207,194556157.0605,1200945.54102514,,,,0
25.1991997,0.94773,COD,Bura - Somalia,FALSE,0,736.68024,16.6895422502172,0,0,,,,0
25.199874,0.516822,COD,Kisangani - Congo (Kinshasa),TRUE,1040000,736.68024,22.5850793622279,766147449.6,23488482.536717,"","","",0
25.7397289,-5.3854599,COD,Cuemba - Angola,FALSE,43068,736.68024,11.9803240474345,31727344.57632,515968.596074908,,,,0
25.089529,-4.25951,COD,Azzaba - Algeria,FALSE,0,732.398491797239,10.9064440480646,0,0,,,,0
25.834583,-13.454957,ZMB,Kasempa - Zambia,TRUE,111272,3657.5593,22.3668483314419,406983938.4296,2488803.9475362,"","","",0
27.0421791,-15.0231094,ZMB,Chinhoyi - Zimbabwe,FALSE,19086,3657.5593,22.940060861089,69808176.7998,437834.001594744,,,,0
25.3118992,1.5610499,COD,Wote - Kenya,FALSE,0,731.828055725658,14.7558118312642,0,0,,,,0
24.8470802,-28.1183701,ZAF,Boudouaou - Algeria,FALSE,46808,11798.7378412598,70.2127211945732,552275320.873688,3286517.05367558,,,,0
25.6409893,-25.8662987,ZAF,M’diq - Morocco,FALSE,53414,14329.9463893579,61.6672310894287,765419756.441162,3293893.48141074,,,,0
25.9812202,-27.20541,ZAF,Hohoe - Ghana,FALSE,13351,14328.596193591,67.0628614082658,191301087.780634,895356.262661756,,,,0
26.2884693,-26.3212891,ZAF,Dongola - Sudan,FALSE,26338,14261.6690561597,62.3259881935806,375623839.601134,1641541.87704252,,,,0
26.216815,-29.116723,ZAF,Bloemfontein - South Africa,TRUE,256185,11113.294,72.3084895602601,2847059223.39,18524350.3979952,"","","",0
25.350229,13.630606,SDN,El Fasher - Sudan,TRUE,5e+05,3873.54135906371,19.6670084393532,1936770679.53186,9833504.2196766,"","","",0
25.7196102,12.6617393,SDN,Mota - Ethiopia,FALSE,0,3927.4883,17.9425905428621,0,0,,,,0
26.2149487,12.0061197,SDN,Kimilili - Kenya,FALSE,0,3927.4883,15.5120663099388,0,0,,,,0
25.6627388,-8.9112501,COD,Bonga - Ethiopia,FALSE,0,782.543801445453,13.957873731846,0,0,,,,0
26.2193184,-6.1394401,COD,Oke-Mesi - Nigeria,FALSE,0,736.68024,7.98108113966829,0,0,,,,0
25.8866291,-32.6636276,ZAF,Bungoma - Kenya,FALSE,18825,11533.3545,65.159093803633,217115398.4625,1226619.94085339,,,,0
26.7003098,-31.3804092,ZAF,Sidi Bennour - Morocco,FALSE,0,11623.2672464315,55.7105853852861,0,0,,,,0
25.466737,-10.716792,COD,Kolwezi - Congo (Kinshasa),TRUE,480000,835.956893475155,33.6258487614232,401259308.868074,16140407.4054832,"","","",0
25.808239,-9.5610294,COD,Tsévié - Togo,FALSE,0,736.68024,13.7290033806981,0,0,,,,0
26.2341194,-12.3956099,ZMB,Umm Ruwaba - Sudan,FALSE,0,3657.5593,24.6202673089502,0,0,,,,0
26.5754395,-0.74663,COD,Oulad Yaïch - Algeria,FALSE,1313,736.68024,19.6580878781938,967261.15512,25811.0693840685,,,,0
27.1541691,1.0161999,COD,Finote Selam - Ethiopia,FALSE,149,736.68024,16.775979368899,109765.35576,2499.62092596596,,,,0
25.8472786,-17.8544598,ZMB,Wellington - South Africa,FALSE,66060,3218.41775662112,39.8597605028885,212608677.002391,2633135.77882081,,,,0
25.7079487,-25.2639484,BWA,Shendi - Sudan,FALSE,53309,14361.6385944786,52.8015210252489,765604591.833061,2814796.28433499,,,,0
25.912789,-24.658062,BWA,Gaborone - Botswana,TRUE,404964,14084.8132120977,52.2200765632609,5703842297.62394,21147251.0853644,"","","",0
26.9997997,1.6529599,COD,Porto Alexandre - Angola,FALSE,0,736.68024,16.8058530237404,0,0,,,,0
26.6823902,13.5838795,SDN,Winneba - Ghana,FALSE,0,3927.4883,28.2657445296117,0,0,,,,0
26.1216793,-10.6429501,COD,Buta - Congo (Kinshasa),FALSE,34104,736.68024,24.8194949561825,25123742.90496,846444.055985647,,,,0
27.1984501,2.94803,COD,Midalt - Morocco,FALSE,0,739.026200938426,13.0335945733602,0,0,,,,0
25.9147587,-33.6106682,ZAF,Meyerton - South Africa,FALSE,0,11335.0726013712,69.8331772453694,0,0,,,,0
27.232399,-7.7908697,COD,Ucuma - Angola,FALSE,51603,736.68024,17.0809820801147,38014910.42472,881429.91828016,,,,0
27.242781,-25.666679,ZAF,Rustenburg - South Africa,TRUE,584172,14317.494,67.6309685561344,8363879104.968,39508118.1633742,"","","",0
26.6942291,12.31075,SDN,Touba - Côte d’Ivoire,FALSE,0,3927.4883,37.83063224088,0,0,,,,0
26.0509987,-5.6167397,COD,Agbangnizoun - Benin,FALSE,0,736.68024,10.017399993956,0,0,,,,0
26.6610298,-4.4274597,COD,Bilis Qooqaani - Somalia,FALSE,63000,736.68024,13.4493302004256,46410855.12,847307.802626811,,,,0
27.7638493,-18.93326,ZWE,Luquembo - Angola,FALSE,0,1677.45709544443,25.081540239352,0,0,,,,0
28.2447395,-15.8533096,ZMB,Phuthaditjhaba - South Africa,FALSE,219000,3631.28140772746,29.4234571479957,795250628.292314,6443737.11541105,,,,0
27.904694,-33.017482,ZAF,East London - South Africa,TRUE,490147,11533.3545,70.2664437902387,5653039108.1115,34440886.6244541,"","","",0
26.8430195,-23.1002388,BWA,Mbulungu - Congo (Kinshasa),FALSE,41316,14842.0945700285,34.0982540237064,613215979.255298,1408803.46324345,,,,0
26.364439,-3.6559799,COD,Azrou - Morocco,FALSE,0,736.68024,17.3863981861136,0,0,,,,0
26.666705,-26.866618,ZAF,Klerksdorp - South Africa,TRUE,229237,13750.3254020959,71.543588831511,3152083344.20025,16400437.6729691,"","","",0
26.999149,-5.400593,COD,Kongolo - Congo (Kinshasa),TRUE,105202,736.68024,11.0467361949385,77500234.60848,1162138.74117992,"","","",0
26.733103,-10.983298,COD,Likasi - Congo (Kinshasa),TRUE,531702,769.035105780844,26.9647330329732,408897503.813886,14337202.4830979,"","","",0
26.128204,11.46043,SDN,Ed Daein - Sudan,TRUE,264734,3863.56909360434,20.0805938188101,1022818100.42625,5316015.92402889,"","","",0
27.0168495,12.1186399,SDN,Morsott - Algeria,FALSE,0,3927.4883,29.1438401276982,0,0,,,,0
27.1797199,11.63235,SDN,Frenda - Algeria,FALSE,0,3927.4883,22.1141557175049,0,0,,,,0
27.3948193,8.7417698,SSD,Bir Ali Ben Khalifa - Tunisia,FALSE,33537,3927.4883,12.535298293796,131716175.1171,420396.298879035,,,,0
26.636919,-20.6379795,BWA,Chèddra - Chad,FALSE,0,14608.5821951713,34.9691155255354,0,0,,,,0
26.8299198,-30.4122791,ZAF,Bacaadweyn - Somalia,FALSE,0,11113.294,59.8947324055006,0,0,,,,0
26.86171,-28.106689,ZAF,Virginia - South Africa,TRUE,177221,11113.294,73.0431532818488,1969509075.974,12944780.6677625,"","","",0
26.9981995,-28.4973984,ZAF,Iganga - Uganda,FALSE,0,11113.294,65.9028628548997,0,0,,,,0
27.480123,-29.309937,LSO,Maseru - Lesotho,TRUE,417449,6592.50296976855,56.7810757579148,2752033772.22691,23703203.2940658,"","","",0
27.4178696,-7.30229,COD,Cangola - Angola,FALSE,46111,736.68024,15.4916094818238,33969062.54664,714333.604816378,,,,0
26.5348701,-12.1976595,ZMB,Mora - Cameroon,FALSE,90856,3615.65248816509,26.6145180611124,328503722.464727,2418088.65296043,,,,0
26.7947502,-26.3273296,ZAF,Kongoussi - Burkina Faso,FALSE,0,14317.494,68.9896293937336,0,0,,,,0
27.3922291,-3.65254,COD,Cambundi Catembo - Angola,FALSE,0,736.68024,19.5453563339144,0,0,,,,0
