iso3c,MAR,ESH,MRT,SEN,GMB,GNB,DZA,GIN,MLI,SLE,LBR,CIV,TUN,BFA,GHA,NER,LBY,TGO,BEN,NGA,TCD,EGY,CMR,GAB,GNQ,CAF,SDN,COG,AGO,COD,SSD,NAM,ERI,ETH,ZMB,BWA,UGA,ZAF,RWA,BDI,TZA,KEN,ZWE,MOZ,MWI,LSO,SOM,SWZ,DJI,MDG
GNQ,4635,4635,5043,4855.99995,5118,5100,7343.571,5742.8571,5560.99995,5916,7743,6036.00066,4985.53848,5730,5040,5730,5382.8571,7224,5206.00002,7969.7145,8286,8814,7947,4884,0,6169.7145,6576,10831.9995,5280,9708,8469,3726,6223.730775,5871.46155,5856,3696.346152,6375,5145,5014.5,7018.5,11094,6894,7525.0005,3855,4779.5769,3697.5,5355,3691.166676,5694,5450.72721
CAF,4140,4140,4548,4360.99995,4623,4605,6848.571,5247.8571,5065.99995,5421,7248,5541.00066,4490.53848,5235,4545,5235,4887.8571,6729,4711.00002,7474.7145,7071,8319,7452,5109,8169,0,5361,9616.9995,4785,8493,7254,3231,5728.730775,5376.46155,5361,3201.346152,5880,4650,4519.5,6523.5,10599,6399,7030.0005,3360,4284.5769,3202.5,4860,3196.166676,5199,4955.72721
SDN,5571,5571,5979,5791.99995,6054,6036,8279.571,6678.8571,6496.99995,6852,8679,6972.00066,5921.53848,6666,5976,6666,5598.8571,8160,6142.00002,8905.7145,8502,9030,9603,6540,9600,6385.7145,0,11767.9995,6216,10644,8685,4662,6439.730775,6087.46155,6792,4632.346152,7311,6081,5950.5,7954.5,12030,7830,8461.0005,4791,5715.5769,4633.5,6291,4627.166676,6630,6386.72721
COG,6591,6591,6999,6811.99995,7074,7056,9299.571,7698.8571,7516.99995,7872,9699,7992.00066,6941.53848,7686,6996,7686,7338.8571,9180,7162.00002,9925.7145,10242,10770,9903,6840,10620,7405.7145,8532,0,6516,10944,10425,5682,8179.730775,7827.46155,7812,5652.346152,8331,7101,6970.5,8974.5,13050,8850,9481.0005,5811,6735.5769,5653.5,7311,5647.166676,7650,7406.72721
AGO,4767,4767,5175,4987.99995,5250,5232,7475.571,5874.8571,5692.99995,6048,7875,6168.00066,5117.53848,5862,5172,5862,5514.8571,7356,5338.00002,8101.7145,8418,8946,8799,5736,8796,6301.7145,6708,10243.9995,0,9120,8601,3138,6355.730775,6003.46155,5268,3828.346152,6507,5277,5146.5,7150.5,11226,7026,7657.0005,3987,4911.5769,3829.5,5487,3823.166676,5826,5582.72721
COD,7323,7323,7731,7543.99995,7806,7788,10031.571,8430.8571,8248.99995,8604,10431,8724.00066,7673.53848,8418,7728,8418,8070.8571,9912,7894.00002,10657.7145,10974,11502,11355,8292,11352,8137.7145,9264,12799.9995,7248,0,10437,6414,8911.730775,8559.46155,7824,6384.346152,8343,7833,6982.5,8986.5,13062,9582,10213.0005,6543,7467.5769,6385.5,8043,6379.166676,8382,8138.72721
SSD,5073,5073,5481,5293.99995,5556,5538,7781.571,6180.8571,5998.99995,6354,8181,6474.00066,5423.53848,6168,5478,6168,5820.8571,7662,5644.00002,8407.7145,8724,9252,9105,6042,9102,5887.7145,6294,11269.9995,5718,9426,0,4164,6661.730775,5589.46155,6294,4134.346152,6093,5583,5452.5,7456.5,11532,6612,7963.0005,4293,5217.5769,4135.5,5793,4129.166676,6132,5888.72721
NAM,4071,4071,4479,4291.99995,4554,4536,6779.571,5178.8571,4996.99995,5352,7179,5472.00066,4421.53848,5166,4476,5166,4818.8571,6660,4642.00002,7405.7145,7722,8250,8103,5040,8100,5605.7145,6012,10267.9995,3996,9144,7905,0,5659.730775,5307.46155,4572,2412.346152,5811,3861,4450.5,6454.5,10530,6330,6241.0005,3291,4215.5769,3133.5,4791,3127.166676,5130,4886.72721
ERI,4260.85095,4260.85095,4668.85095,4481.8509,4743.85095,4725.85095,6969.42195,5368.70805,5186.8509,5541.85095,7368.85095,5661.85161,4611.38943,5355.85095,4665.85095,5355.85095,5008.70805,6849.85095,4831.85097,7595.56545,7911.85095,8439.85095,8292.85095,5229.85095,8289.85095,5795.56545,5481.85095,10457.85045,4905.85095,9333.85095,8094.85095,3351.85095,0,4777.3125,5481.85095,3322.197102,6000.85095,4770.85095,4640.35095,6644.35095,10719.85095,6519.85095,7150.85145,3480.85095,4405.42785,3323.35095,4980.85095,3317.017626,4599.85095,5076.57816
ETH,2950.7019,2950.7019,3358.7019,3171.70185,3433.7019,3415.7019,5659.2729,4058.559,3876.70185,4231.7019,6058.7019,4351.70256,3301.24038,4045.7019,3355.7019,4045.7019,3698.559,5539.7019,3521.70192,6285.4164,6601.7019,7129.7019,6982.7019,3919.7019,6979.7019,4485.4164,4171.7019,9147.7014,3595.7019,8023.7019,6064.7019,2041.7019,3819.432675,0,4171.7019,2012.048052,4690.7019,3460.7019,3330.2019,5334.2019,9409.7019,4489.7019,5840.7024,2170.7019,3095.2788,2013.2019,2950.7019,2006.868576,3289.7019,3766.42911
