iso3c,MAR,ESH,MRT,SEN,GMB,GNB,DZA,GIN,MLI,SLE,LBR,CIV,TUN,BFA,GHA,NER,LBY,TGO,BEN,NGA,TCD,EGY,CMR,GAB,GNQ,CAF,SDN,COG,AGO,COD,SSD,NAM,ERI,ETH,ZMB,BWA,UGA,ZAF,RWA,BDI,TZA,KEN,ZWE,MOZ,MWI,LSO,SOM,SWZ,DJI,MDG
TCD,531909.6875,531909.6875,929062.5,1095729.1875,615000,788437.5,821909.75,934419.625,713437.5,1071651.8125,1202500,768050.625,779436.375,604687.5,958348.1875,781250,752455.375,856145.875,759756.9375,1342232.3125,0,1287604.1875,1726484.375,1247812.5,975937.5,1072366.0625,1261875,1498160,1247812.5,2694062.5,1023593.75,446250,1061093.75,860312.5,663437.5,419495.1875,780507.8125,784687.5,568571.4375,1234419.625,1394687.5,908750,761354.1875,603437.5,507187.5,466562.5,1099062.5,447812.475,1038437.5,781903.4375
EGY,439097.1875,439097.1875,836250,1002916.6875,522187.5,695625,729097.25,841607.125,620625,978839.3125,1109687.5,675238.125,686623.875,511875,865535.6875,688437.5,659642.875,763333.375,666944.4375,1249419.8125,1139375,0,1633671.875,1155000,883125,979553.5625,1169062.5,1405347.5,1155000,2601250,930781.25,353437.5,968281.25,767500,570625,326682.6875,687695.3125,691875,475758.9375,1141607.125,1301875,815937.5,668541.6875,510625,414375,373750,1006250,354999.975,945625,689090.9375
CMR,1020503.4375,1020503.4375,1417656.25,1584322.9375,1103593.75,1277031.25,1310503.5,1423013.375,1202031.25,1560245.5625,1691093.75,1256644.375,1268030.125,1093281.25,1446941.9375,1269843.75,1241049.125,1344739.625,1248350.6875,1830826.0625,1720781.25,1776197.9375,0,1736406.25,1464531.25,1560959.8125,1750468.75,1986753.75,1736406.25,3182656.25,1512187.5,934843.75,1549687.5,1348906.25,1152031.25,908088.9375,1269101.5625,1273281.25,1057165.1875,1723013.375,1883281.25,1397343.75,1249947.9375,1092031.25,995781.25,955156.25,1587656.25,936406.225,1527031.25,1270497.1875
GAB,1360972.1875,1360972.1875,1758125,1924791.6875,1444062.5,1617500,1650972.25,1763482.125,1542500,1900714.3125,2031562.5,1597113.125,1608498.875,1433750,1787410.6875,1610312.5,1581517.875,1685208.375,1588819.4375,2171294.8125,2061250,2116666.6875,2555546.875,0,1805000,1901428.5625,2090937.5,2327222.5,2076875,3523125,1852656.25,1275312.5,1890156.25,1689375,1492500,1248557.6875,1609570.3125,1613750,1397633.9375,2063482.125,2223750,1737812.5,1590416.6875,1432500,1336250,1295625,1928125,1276874.975,1867500,1610965.9375
GNQ,743472.1875,743472.1875,1140625,1307291.6875,826562.5,1e+06,1033472.25,1145982.125,925000,1283214.3125,1414062.5,979613.125,990998.875,816250,1169910.6875,992812.5,964017.875,1067708.375,971319.4375,1553794.8125,1443750,1499166.6875,1938046.875,1459375,0,1283928.5625,1473437.5,1709722.5,1459375,2905625,1235156.25,657812.5,1272656.25,1071875,875000,631057.6875,992070.3125,996250,780133.9375,1445982.125,1606250,1120312.5,972916.6875,815000,718750,678125,1310625,659374.975,1250000,993465.9375
CAF,427847.1875,427847.1875,825000,991666.6875,510937.5,684375,717847.25,830357.125,609375,967589.3125,1098437.5,663988.125,675373.875,500625,854285.6875,677187.5,648392.875,752083.375,655694.4375,1238169.8125,1128125,1183541.6875,1622421.875,1143750,871875,0,1157812.5,1394097.5,1143750,2590000,919531.25,342187.5,957031.25,756250,559375,315432.6875,676445.3125,680625,464508.9375,1130357.125,1290625,804687.5,657291.6875,499375,403125,362500,995000,343749.975,934375,677840.9375
SDN,1086597.1875,1086597.1875,1483750,1650416.6875,1169687.5,1343125,1376597.25,1489107.125,1268125,1626339.3125,1757187.5,1322738.125,1334123.875,1159375,1513035.6875,1335937.5,1307142.875,1410833.375,1314444.4375,1896919.8125,1786875,1842291.6875,2281171.875,1802500,1530625,1627053.5625,0,2052847.5,1802500,3248750,1578281.25,1000937.5,1615781.25,1415000,1218125,974182.6875,1335195.3125,1339375,1123258.9375,1789107.125,1949375,1463437.5,1316041.6875,1158125,1061875,1021250,1653750,1002499.975,1593125,1336590.9375
COG,1552847.1875,1552847.1875,1950000,2116666.6875,1635937.5,1809375,1842847.25,1955357.125,1734375,2092589.3125,2223437.5,1788988.125,1800373.875,1625625,1979285.6875,1802187.5,1773392.875,1877083.375,1780694.4375,2363169.8125,2253125,2308541.6875,2747421.875,2268750,1996875,2093303.5625,2282812.5,0,2268750,3715000,2044531.25,1467187.5,2082031.25,1881250,1684375,1440432.6875,1801445.3125,1805625,1589508.9375,2255357.125,2415625,1929687.5,1782291.6875,1624375,1528125,1487500,2120000,1468749.975,2059375,1802840.9375
AGO,880972.1875,880972.1875,1278125,1444791.6875,964062.5,1137500,1170972.25,1283482.125,1062500,1420714.3125,1551562.5,1117113.125,1128498.875,953750,1307410.6875,1130312.5,1101517.875,1205208.375,1108819.4375,1691294.8125,1581250,1636666.6875,2075546.875,1596875,1325000,1421428.5625,1610937.5,1847222.5,0,3043125,1372656.25,795312.5,1410156.25,1209375,1012500,768557.6875,1129570.3125,1133750,917633.9375,1583482.125,1743750,1257812.5,1110416.6875,952500,856250,815625,1448125,796874.975,1387500,1130965.9375
COD,1917029.6875,1917029.6875,2314182.5,2480849.1875,2000120,2173557.5,2207029.75,2319539.625,2098557.5,2456771.8125,2587620,2153170.625,2164556.375,1989807.5,2343468.1875,2166370,2137575.375,2241265.875,2144876.9375,2727352.3125,2617307.5,2672724.1875,3111604.375,2632932.5,2361057.5,2457486.0625,2646995,2883280,2632932.5,0,2408713.75,1831370,2446213.75,2245432.5,2048557.5,1804615.1875,2165627.8125,2169807.5,1953691.4375,2619539.625,2779807.5,2293870,2146474.1875,1988557.5,1892307.5,1851682.5,2484182.5,1832932.475,2423557.5,2167023.4375
