from,to,add,gravity_rd,distance,duration,duration_imp,border_dist,border_time,total_time,cost_per_km,total_cost
60,61,0,33.8723520675406,72556.5,68.2,43.5339,0,0,68.2,275665.204224164,20001302.3902906
61,62,0,78.2201117535924,46646,44.1,27.9876,0,0,44.1,359680.367897787,16777650.4409602
62,63,0,76.6233075740321,38066.5,35.3,22.8399,0,0,35.3,307601.110109395,11709297.6579793
63,64,0,83.6649569173215,63388,55.05,38.0328,0,0,55.05,308163.298664603,19533855.1757519
64,65,0,808.929522147481,69850,49.8,41.91,0,0,49.8,157470.71674842,10999329.5648771
67,68,0,26.1024126876224,96431,144.05,57.8586,0,0,144.05,427313.388642949,41206257.3802282
68,69,0,41.8826429232104,110732,84.75,66.4392,0,0,84.75,309784.501460949,34303057.4157738
70,71,0,8.57611913235405,115214,106.55,69.1284,0,0,106.55,338037.911891168,38946699.980629
71,72,0,285.684039870089,44739.5,35.85,26.8437,0,0,35.85,351476.239093162,15724871.1989085
72,73,0,92.4016251845432,106274,75.95,63.7644,0,0,75.95,136356.496017678,14491150.2577827
67,76,0,51.6830025368617,77749.5,115.5,46.6497,0,0,115.5,387255.408392243,30108914.3747927
76,77,0,61.3353521197758,66072,62.35,39.6432,0,0,62.35,251171.036892958,16595372.7495915
77,78,0,58.7558503640926,114587,105.8,68.7522,0,0,105.8,254691.423210204,29184326.1113876
78,79,0,362.679900590088,131761,94,79.0566,0,0,94,138870.836879623,18297760.338096
79,80,0,337.986886298929,65589,48,39.3534,0,0,48,143242.018777303,9395100.76958453
80,81,0,333.149722957699,82401.5,58.15,49.4409,0,0,58.15,155651.725233674,12825935.6368426
81,82,0,463.440324557015,59962,43.2,35.9772,0,0,43.2,192033.429669264,11514708.5098284
53,83,0,117.146731628052,291699.5,236.2,175.0197,619027.784375,3428.75001,3664.95001,308059.213619559,89860718.5832186
83,84,0,139.024220180799,137354.5,97.45,82.4127,0,0,97.45,152903.951892373,21002045.8602009
84,85,0,75.0375608695188,42703.5,30.5,25.6221,0,0,30.5,106429.499674011,4544912.13932913
85,86,0,1.31296978292954,110757.5,159.8,66.4545,1203179.659375,4923.07176,5082.87176,393495.722814442,43582602.5196206
86,87,0,38.8627713033529,35469.5,33.85,21.2817,0,0,33.85,327982.05123224,11633359.3661819
87,88,0,33.2294973783347,83114,58.75,49.8684,0,0,58.75,117985.67250345,9806261.18445174
89,90,0,47.8453552911657,82136,64.65,49.2816,0,0,64.65,331809.616011838,27253514.6207483
92,93,0,31.2749906874221,99315.5,89.15,59.5893,0,0,89.15,326176.0923079,32394341.6956052
93,94,0,57.454575243824,57104,51,34.2624,0,0,51,359760.542318953,20543766.0085815
94,95,0,20.7074331243277,48773,45.2,29.2638,0,0,45.2,374963.095337845,18288075.0489127
95,96,0,18.0155198409671,79000,72.95,47.4,0,0,72.95,293280.081435221,23169126.4333825
96,97,0,203.685627085474,56450,40,33.87,0,0,40,116981.542385853,6603608.0676814
97,98,0,2.60825677846123,149658.5,167.6,89.7951,0,0,167.6,483510.549711767,72361463.6040385
98,99,0,1115.51277720393,52307,36.9,31.3842,0,0,36.9,121355.520921915,6347743.23286261
99,100,0,1131.49764986803,39461,28.55,23.6766,1944034.6875,7592.57175,7621.12175,146194.939001907,5768998.48795425
100,101,0,1239.43241772921,37300,26.3,22.38,0,0,26.3,145325.649955136,5420646.74332657
101,102,0,639.420666431752,144533,102.65,86.7198,0,0,102.65,154590.792675039,22343471.0377014
101,103,0,443.216007501546,215410,224.1,129.246,0,0,224.1,506639.09250119,109135126.915681
103,104,0,496.027508238278,52578,40.85,31.5468,0,0,40.85,323591.45264948,17013791.3974044
104,105,0,181.25658894015,70921,55.25,42.5526,0,0,55.25,323997.292148408,22978211.9564572
105,106,0,7.53775231919217,111073.5,78.9,66.6441,0,0,78.9,111981.176746222,12438141.2353215
