city_port,population,city_country,IWI,gdp_cap,gdp,wealth,iso3c,port_locode,port_name,port_status,outflows,lon,lat
FALSE,103519,Yirga ‘Alem - Ethiopia,57.4607219669475,9947.60687747791,1029766316.34964,5948276.47729644,EGY,,,,,31.2642097,29.6847
FALSE,9564,Beni Saf - Algeria,62.4136992631706,9649.189,92284843.596,596924.619752964,ZAF,,,,,31.6114483,-29.0754795
FALSE,16666,Murzuq - Libya,28.8053367073221,1682.5086058843,28040688.4256678,480069.74156423,ZWE,,,,,31.7924385,-17.66185
FALSE,0,Bushenyi - Uganda,32.2405599543079,1687.9761,0,0,ZWE,,,,,31.8459492,-18.1453304
TRUE,303986,Sumbawanga - Tanzania,29.907098807589,2283.1423,694043295.2078,9091339.33812376,TZA,"","","",,31.616657,-7.966662
FALSE,0,Cové - Benin,17.5547542608142,2283.1423,0,0,TZA,,,,,32.0683708,-6.7199898
TRUE,2190397,Maputo - Mozambique,66.1781720347516,3084.04293043511,6755278382.69627,144956469.490404,MOZ,MZMPM,Maputo,AI,871116.20005,32.583558,-25.966879
FALSE,28700,Jerada - Morocco,20.0615823158067,1764.08696165233,50629295.799422,575767.412463654,UGA,,,,,31.5106888,2.45313
FALSE,0,Paoskoto - Senegal,43.6937466053577,10697.1000911679,0,0,EGY,,,,,32.5282707,29.1082287
FALSE,0,Kilosa - Tanzania,53.3892637717308,8075.18253783734,0,0,SWZ,,,,,31.4575787,-26.48633
FALSE,0,Sawākin - Sudan,41.305480322405,10188.815901505,0,0,EGY,,,,,31.5109901,27.3578796
FALSE,1e+05,Douar Bni Malek - Morocco,44.481420474979,10737.9807068141,1073798070.68141,4448142.0474979,EGY,,,,,33.0457573,28.3481998
TRUE,169518,Masaka - Uganda,28.9085455039834,1738.64125183837,294730987.729138,4900518.81674426,UGA,"","","",,31.736035,-0.341098
FALSE,0,Şān al Ḩajar al Qiblīyah - Egypt,18.4737881671649,3657.5593,0,0,ZMB,,,,,32.5457993,-10.1735497
TRUE,1402478,Suhaj - Egypt,55.3228176036835,9312.60188989384,13060719273.3345,77589034.5871788,EGY,"","","",,31.699945,26.550083
FALSE,830816,Macenta - Guinea,48.8235104753,9184.96372225245,7631014819.86689,40563353.6790469,EGY,,,,,31.9769592,26.0646095
TRUE,144938,Bukoba - Tanzania,31.7064729713723,1612.97372389919,233781185.594501,4595472.77952477,TZA,"","","",,31.817465,-1.332375
TRUE,318006,Geita - Tanzania,26.3638130216829,2606.7312,828956161.9872,8383850.7237733,TZA,"","","",,32.228871,-2.871671
TRUE,242208,Kahama - Tanzania,23.2323669920913,1604.10417907517,388526865.005439,5627065.14442046,TZA,"","","",,32.600027,-3.837362
FALSE,20570,Lubao - Congo (Kinshasa),21.9923219273964,3630.10596000773,74671279.5973589,452382.062046545,ZMB,,,,,31.3660183,-8.9750195
FALSE,0,Garbahaarrey - Somalia,27.1369891889162,3915.69861957766,0,0,SDN,,,,,31.2245197,17.9633102
TRUE,267913,Aswan - Egypt,52.3776427051405,9341.76963458223,2502781528.10983,14032651.3900623,EGY,"","","",,32.899507,24.088954
