from,to,passes,gravity,gravity_rd,gravity_dur,log10_gravity,distance,duration,sp_distance,from_ctry,to_ctry,border_dist,border_time,total_dist,total_time,rugg,pop_wpop,pop_wpop_km2,cost_km,speed_kmh,speed_kmh_imp,duration_imp,MA_100_min_speed,MA_100_min_speed_perc,MA_100_min_speed_bt,MA_100_min_speed_bt_perc,MA_100_min_speed_bt_ratio,MA_100_min_speed_bt_perc_ratio,total_time_imp,MA_100_min_speed_bt_opt,MA_100_min_speed_bt_opt_perc,MA_100_min_speed_bt_opt_ratio,MA_100_min_speed_bt_opt_perc_ratio,upgrade_cat,ug_cost_km,MA_gain_pusd,MA_gain_pusd_bt,MA_gain_pusd_bt_opt,consensus,MA_gain_pusd_cons
11,13,12,28.5298867268198,18.1207115790733,16.3920050348064,1.45530004736634,117304.5,167.3,93502.2496589565,GMB,SEN,900140.5,2865.90885,1017445,3033.20885,23407.361328125,197654.0625,316.458769584762,586643.916069491,42.0697549312612,100,70.3827,1667572116419.72,0.00685706202938619,936251253742.878,0.00104949020161005,0.0859356405894068,0.153052458489134,2936.29155,782631325938.493,0.000161922982200302,0.0110833766896565,0.0236140465853124,Upgrade,496691.848938835,1.9624166424082,0.168641531268662,0.021750202869861,FALSE,0.717602792182242
11,14,49,28.1547493938513,20.8626657062097,24.2020489167396,1.44955166602788,115442.5,138.45,105495.162729709,GMB,GMB,0,0,115442.5,138.45,30612.71484375,132786.96875,190.124816485108,580268.54148979,50.0292524377032,100,69.2655,1667516716194.22,0.00353462554909534,936261059865.251,0.00209688268819619,0.333091638197851,0.593240403847834,69.2655,782647080354.875,0.00217493234808686,0.288804541597076,0.615321854571983,Upgrade,491294.031794688,1.03918063847577,0.346142381253384,0.300120087931552,FALSE,0.561814369220235
15,16,56,22.0906496155729,16.3625270963483,15.795754188746,1.34420848727526,103879,156.25,91510.2357522865,SEN,MRT,1159498.125,2481.384135,1263377.125,2637.634135,35469.12109375,193264.921875,316.989279327765,616731.264347107,39.889536,100,62.3274,1667588082290.81,0.00781455980212176,936259764025.363,0.00195847395627613,0.140716910118006,0.2506185896414,2543.711535,782634257869.181,0.000536548343865739,0.0322259714334803,0.068660085462531,Upgrade,522165.803813883,2.40227752293455,0.338041070273287,0.0774157268293807,FALSE,0.93924477334574
4,5,1,0.525951481618674,0.395335595731921,0.353102846385049,-0.279054317133619,59389,52.8,46281.0901998088,SEN,SEN,0,0,59389,52.8,13342.845703125,110490.8125,349.773950855957,553052.031734265,67.4875,100,35.6334,1667472696760.19,0.00089471258595264,936248626885.449,0.00076891541067603,0.4825341193245,0.859399345385683,35.6334,782636432780.002,0.000814446029639981,0.427248397028785,0.91028788733625,Mixed Works,297726.343750279,0.843752583766676,0.407139409935625,0.360491938903208,FALSE,0.53712797753517
4,17,1.5,11.6420372404686,10.5577016689517,14.4135975063821,1.06602898416928,79957.5,60.45,63544.0867230124,SEN,SEN,0,0,79957.5,60.45,11119.3310546875,241352.796875,558.37876280296,562980.432188971,79.3622828784119,100,47.9745,1667472830508.59,0.000902733682561774,936256480683.831,0.00160778006110807,1,1.78101259780793,47.9745,782645111383.565,0.00192334843720499,1,2.13058233492176,Mixed Works,303071.132661729,0.621170344953983,0.621170344964058,0.621170344953983,FALSE,0.621170344957341
5,13,108,140.415086129708,101.489256388219,113.545651215392,2.14741377069201,44975.5,43.95,43445.3623415589,SEN,SEN,0,0,44975.5,43.95,12763.69140625,249395.671875,831.258798291953,660876.585137631,61.4,100,26.9853,1667536974296.47,0.00474953500682052,936279348533.893,0.00405029642271959,0.478816076871363,0.852777464931453,26.9853,782663296796.279,0.00424697663319318,0.419691773547834,0.894187878833266,Mixed Works,355771.894999091,4.94946550318483,2.3698836548451,2.07724995514546,TRUE,3.1321997043918
5,17,20,9.5997770447131,7.08877459735031,6.18620484640938,0.982261146646316,92795,83.4,82112.7830088755,SEN,SEN,0,0,92795,83.4,13118.869140625,334652.78125,611.842774183403,578736.791149595,66.7589928057554,100,55.677,1667482002288.68,0.00145277939958,936255945488.811,0.00155061585067617,0.599290722832429,1.06734432710463,55.677,782643194796.841,0.00167845792942156,0.542266112661567,1.15534260047108,Mixed Works,311553.305902198,0.837910395911144,0.502151926834396,0.45437041314945,FALSE,0.59814424529833
10,15,31,23.034295473826,16.8520354297919,16.4853605670615,1.36237493347566,68931,59.7,52262.2973417942,SEN,SEN,0,0,68931,59.7,5177.1201171875,195415,541.875199051126,512329.003134069,69.2773869346734,100,41.3586,1667482786651.99,0.00149981887038742,936255280601.093,0.00147959915586249,0.553908806495606,0.986518562391668,41.3586,782642434525.522,0.00158131480156865,0.494858689519423,1.05433718216932,Mixed Works,275803.780020507,1.31546369383465,0.728646924640251,0.650968639641392,FALSE,0.89835975270543
10,17,65,13.3383661853737,10.0608790426436,9.01312403053251,1.12510263616736,107994.5,94.5,93836.245083748,SEN,SEN,0,0,107994.5,94.5,3945.953125,225514.125,357.961746211645,478769.171645011,68.5679365079365,100,64.7967,1667501613100.7,0.00262886986994726,936260397824.648,0.00202617009390504,0.432752734318315,0.770738071544673,64.7967,782645968373.907,0.00203284976960649,0.362942539866113,0.77327896403152,Mixed Works,257737.404068897,1.57487049513726,0.681529512967886,0.571587497465319,FALSE,0.94266250185682
10,16,45,10.9682399849557,8.34180490373128,7.11156942044697,1.04013694424332,165686,205.8,108219.880184134,SEN,MRT,1159498.125,2481.384135,1325184.125,2687.184135,10573.71484375,83761.65625,113.808933605774,489118.508854509,48.3049562682216,100,99.4116,1667601852298.56,0.00864036828329695,936262690342.783,0.00227103408581009,0.147578946949642,0.262839963685381,2580.795735,782635034718.986,0.0006358097760506,0.0345379554760282,0.073585957820769,Upgrade,414120.337496817,2.09978450837519,0.309883986567183,0.072522263859516,FALSE,0.827396919600628
