id,from,to,sp_distance,distance,nre_per_link,nre_gain_perc,nre_wtd_per_link,nre_wtd_gain_perc,MA_per_link,MA_gain_perc,from_ctry,to_ctry,border_dist,border_time,MA_per_link_bc,MA_gain_perc_bc,MA_gain_bc_ratio,MA_gain_perc_bc_ratio,total_dist,MA_per_link_bc_opt,MA_gain_perc_bc_opt,MA_gain_bc_opt_ratio,MA_gain_perc_bc_opt_ratio,rugg,pop_wpop,pop_wpop_km2,cost_km,cost_km_adj,MA_gain_pusd,MA_gain_pusd_bc,MA_gain_pusd_bc_opt,consensus,MA_gain_pusd_cons,duration_100kmh,duration_65kmh,MA_per_link_100kmh,MA_per_link_100kmh_perc,MA_per_link_100kmh_imp,MA_per_link_100kmh_imp_perc,MA_per_link_100kmh_ratio,MA_per_link_100kmh_perc_ratio,total_time_100kmh,total_time_65kmh,MA_per_link_100kmh_bt,MA_per_link_100kmh_bt_perc,MA_per_link_100kmh_bt_opt,MA_per_link_100kmh_bt_opt_perc,MA_gain_100kmh_pusd,MA_gain_100kmh_pusd_bt,MA_gain_100kmh_pusd_bt_opt
72,228,213,115499.983336645,139537.800519959,0.695244200075015,0.000408572601373614,0.723241216939848,0.000193481399257678,1420080996.32245,0.000149356703516013,NER,NER,0,0,1082075860.2203,0.0000958988267241168,0.48925288950982,0.642079159934294,139537.800519959,914390939.829963,0.0000979076012042057,0.422095490726598,0.65552866995159,13414.1494140625,31867.4921875,40.5931813355089,461671.761726015,461671.761726015,0.0329239551922311,0.0161081402118909,0.0138970530235253,FALSE,0.0209763828092158,83.7226803119751,128.804123556885,1667561101571.16,0.00619648466950729,2368873086089.21,0.000149226100587541,0.0342125709375864,0.0240823803408855,83.7226803119751,128.804123556885,936254301665.769,0.00137503901842528,782640763779.432,0.00136783640625193,1.60389170266578,0.199837823814246,0.166174927490725
73,221,214,99062.9672673988,119679.918266168,0.695269583655037,0.00405961833898072,0.723261363923167,0.00297913877442824,1420126564.98948,0.00335823952193337,BFA,TGO,580729.1875,4199.25,1082097515.89671,0.00209720926860335,0.47585531567103,0.624496631317104,700409.105766169,914395840.079435,0.000633811234496129,0.12152546360614,0.188733183073028,8329.29296875,58712.34765625,88.4328554257141,465327.889531644,465327.889531644,0.856335145590715,0.407491631025267,0.104066525570143,FALSE,0.455964434062042,71.8079509597011,110.473770707232,1667609531094.26,0.00910087743715149,2368949033867.6,0.00335530295536568,0.523762949402686,0.368679061830753,4271.0579509597,4309.72377070723,936258175813.626,0.00178883697063981,782630556457.367,0.0000636030777600993,2.72494502387052,0.3007310355037,0.00893828686754235
74,232,217,170011.672669489,205394.444065629,0.695245204421404,0.000553032705141732,0.723240049105699,0.0000320087977678796,1420082327.53351,0.000243098754881821,TGO,GHA,850840.78125,4121.49999,1082075744.91193,0.0000852425977138083,0.267189118180423,0.350650079451241,1056235.22531563,914390071.664876,0.00000296287907541881,0.00784784135038132,0.0121879648328893,52952.703125,93976.46875,82.0526636370732,577325.156941054,577325.156941054,0.029112937463684,0.00777866008856352,0.000228473714458565,FALSE,0.012373357088902,123.236666439377,189.594871445196,1667480734307.58,0.00137673662881088,2368875341745.09,0.000244446872965654,0.252243462145037,0.177555291150195,4244.73665643938,4311.0948614452,936242435399.652,0.000107602461763001,782630118427.074,0.00000763406813319989,0.193596070951451,0.00849573363864701,0.000503852458468874
75,235,217,123550.829621796,149264.186191201,0.69525109333708,0.00140006454456554,0.723269514242953,0.00410605678797804,1420171438.87767,0.0065181969696404,TGO,GHA,850840.78125,4121.49999,1082087476.2614,0.0011693958585024,0.136703267872466,0.17940480533943,1000104.9674412,914390241.603067,0.0000215477479414972,0.00212859691642822,0.00330578349225398,57796.99609375,73406.140625,88.0311514379913,586878.979218618,586878.979218618,1.05666123565977,0.144449043948848,0.00224920584793462,FALSE,0.401119828485518,89.5585117147205,137.782325714955,1668032263101.31,0.0344527641641834,2369023823681.24,0.00651249722145586,0.268540491539826,0.189026842386892,4211.05850171472,4259.28231571496,936262471098.309,0.00224761657114936,782630097994.378,0.00000502329489115994,6.55805033092712,0.240218199820181,0.000448787783793671
76,256,224,248668.200463204,300420.941626947,0.695352451076603,0.0159788490395441,0.723339341710684,0.0137608719725568,1420302347.78022,0.0157366217224064,BEN,NER,724010.409375,3085.00002,1082180868.78613,0.00980027080208501,0.474538437590161,0.622768404487413,1024431.35100195,914395150.914627,0.00055844243405101,0.0228499854565647,0.035486805484806,19601.845703125,484696.6875,277.554725656808,567939.250654965,567939.250654965,1.30976048951097,0.62153169630986,0.0299280081369087,FALSE,0.653740064652579,180.252564976168,277.311638424874,1667624216744.61,0.00998159840950308,2369242005185.5,0.0157228610489391,2.23778203662255,1.57518469526584,3265.25258497617,3362.31165842487,936248204173.341,0.000723765506527307,782635525986.313,0.000698581109892515,0.975490067153719,0.0397149160447051,0.0320435979980638
77,230,225,70909.9371173395,85667.6890724957,0.695266883950803,0.00367130653946557,0.723253097182764,0.00183612366349006,1420119303.68069,0.00284690814991162,BEN,TGO,685711.8125,3855.50001,1082085516.49072,0.000988283550551472,0.264516602669428,0.347142759271019,771379.501572496,914392035.088342,0.000217687818127033,0.0492356519277404,0.0764646439800984,47117.19921875,44720.02734375,93.5421664674005,575597.051795781,575597.051795781,0.819880033439493,0.216871881041912,0.040367327948931,FALSE,0.359039747476778,51.4006134434974,79.0778668361499,1667586525220.09,0.00772117988323551,2368937078538.01,0.00285061794280672,0.52449535182745,0.369194603145574,3906.9006234435,3934.57787683615,936244147115.801,0.000290430960658838,782630929551.067,0.000111274860237209,2.61097614386668,0.0551436048247059,0.0176611089179521
78,237,226,117140.471526074,141519.706552487,0.695247815808513,0.000928641416209075,0.723273126626239,0.00460552918957191,1420192738.37614,0.00801807833843427,BEN,TGO,685711.8125,3855.50001,1082086260.60008,0.0010570504547891,0.100454696842792,0.131833390766735,827231.519052487,914392205.502933,0.000236324787250553,0.0189783303722416,0.0294739933030763,16496.337890625,185210.65625,233.441772863872,548211.741575236,548211.741575236,1.46763313979924,0.147430642134968,0.0278532265923603,FALSE,0.54763900284219,84.9118239314922,130.633575279219,1668103472811.94,0.0387233197117975,2369059322845.37,0.00801106703958165,0.293903043931603,0.206879655442893,3940.41183393149,3986.13358527922,936257736744.626,0.00174193998589978,782630974809.754,0.00011705775688764,8.32266042662636,0.210211170501494,0.0118084112342602
79,247,226,108396.84215701,130956.356017927,0.695296772598911,0.00797033847983464,0.723310651620775,0.0097939872393038,1420331383.88181,0.017781304035136,BEN,TGO,685711.8125,3855.50001,1082109701.95171,0.0032233841637419,0.138131677219897,0.181279402082798,816668.168517927,914393653.52024,0.000394683609750146,0.0142923783940216,0.0221965503188207,21857.37109375,257226.609375,344.183232686907,585996.237991312,585996.237991312,3.29044522048422,0.454514717105678,0.0470282881759602,FALSE,1.26399607525528,78.573813610756,120.882790170394,1668822982138,0.0818733973711572,2369290398688.15,0.0177657554172095,0.308267092779299,0.216990573099976,3934.07382361076,3976.38280017039,936290316488.746,0.00522178430235609,782631846697.49,0.00022846259326581,17.7900122845577,0.63706738675669,0.023299693938878
80,237,227,80236.6324358875,96935.4530433072,0.69525296799782,0.0016697062616311,0.723319210546165,0.0109774018109965,1420141564.40821,0.00441447794528038,BEN,GHA,879781.71875,3306,1082083591.85422,0.000810418170149596,0.139886126083088,0.183581882205581,976717.171793307,914419976.502915,0.00327343134232105,0.477466500992374,0.74152173436969,1467.33618164063,950265.9375,1767.47358439107,486898.332586563,486898.332586563,1.32822266488738,0.185799923166852,0.634181828342545,FALSE,0.716068138798926,58.1612718259843,89.4788797322835,1667648811380.53,0.011456576441593,2368974057859.86,0.00441167147702259,0.547059554029897,0.385077645098761,3364.16127182598,3395.47887973228,936244634432.377,0.000342481271720096,782641926102.796,0.00151635144871598,4.04751783725702,0.067936590949392,0.251440633844881
81,251,237,47881.9578548119,57847.1346110576,0.695242414963098,0.000151811133886071,0.723268492709911,0.00396481276119243,1420097098.46482,0.00128324740877872,BEN,BEN,0,0,1082090947.58434,0.00149019834490005,0.884868032671058,1.16127126749337,57847.1346110576,914405989.375765,0.00174376386254949,0.874976319142369,1.3588680176717,1401.76171875,154433.625,467.478488779753,432532.13316999,432532.13316999,0.728320667990407,0.644467676638343,0.637263337233558,FALSE,0.670017227287436,34.7082807666345,53.3973550255916,1667832389051.21,0.0224660108703478,2368899922993.16,0.00128212529064697,0.0810757177534573,0.057069557121029,34.7082807666345,53.3973550255916,936311215855.807,0.0074540468829376,782698304439.629,0.00872005340313287,14.9720263181956,2.7892005728448,2.72756707863396
